Issue Type,Priority,Key,Summary,Status,Assignee,Created,Description,Updated,Project,Sprint,Epic Link,Story Points
Bug - Internal Reported,Functionality Incomplete,ALDOT-659,Manage Business Addition Info Tab Saving and Reloading Saved Information is very inconsistent.,Closed,Unassigned,3/4/13 22:07,"Something just doesn't seem right about this tab. At first I thought it wasn't saving the values of certain drop downs such as the Minority, DBE, etc... properly because when I reissued the search and came back to the tab, these dropdowns did not seem to have the correct values that I had set. Later, during a different run, I noticed that the values had changed to what I had set them before I saved it. So, I am wondering if this is a caching issue of some sort that is causing the tab information to no load properly unless the entire control goes out of scope and is recreated. In any case, we must investigate and fix this before we release because the action and outcomes are quite misleading. [Mani]",2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-660,Manage Business > Additional Info > Owned By is a meaningless label and should be corrected.,Closed,Unassigned,3/4/13 22:11,"Is this supposed to be mean ""Woman Owned Business"" ? The label should changed because ""Owned By"" is not meaningful.",2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,System Error,ALDOT-661,Admin -> Manage -> User details tab gives error.,Closed,Unassigned,3/5/13 9:11,"
Steps to recreate the error:- 

1. Open the application. 
2. Click on Admin -> Manage -> Users link. 
3. Click on the User Details tab. 
4. It gives the error - ""Object reference not set to an instance of an object"". 

",2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-662,Transfer popup should not come up until permit is selected,Closed,Unassigned,3/5/13 9:12,"Currently the transfer popup comes up when no permit is selected and says to select a permit. However, the interface does not look good because needed details aren't available. It is best to now show the popup until a permit is selected and available for transfer.",2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-663,Permitting > New Application > Application Information is not showing all the available contacts for the Business I added because paging is not working correctly,Closed,Unassigned,3/5/13 10:07,I've added more than 10 available contacts to the Business I added but its only showing 10 even though I have 15 selected to be shown. It is also not showing the page numbers.,2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-664,Permitting > New Application > Applicant Information is not showing the Primary contact,Closed,Unassigned,3/5/13 10:10,"Permitting > New Application > Applicant Information is not showing the Primary contact information from when I added it to the Business. It shows when I search for the Business in Manage Business though 
Permitting/Common/Applicant.aspx?src=REQPAM 
",2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-667,Manage Individual popup should not show Employer drop down,Closed,Unassigned,3/5/13 11:01,"This causes a problem because if the employer is not in the system, then they have to exit this popup, got to manage business, add the business and then come back to this popup to associate the employer. Too cumbersome. Lets remove employer as an option.",2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,System Error,ALDOT-669,Select link disappears in the Permit search screen,Closed,Unassigned,3/5/13 11:11,"
Steps to replicate the issue - 

1. Click on the Permitting -> Search link 
2. Click the search button without any parameter. This will give the search results. 
3. Click on the Manage Business pop-up. 
4. Without doing anything on the pop-up, click the close button in the popup and the Select link disappear in the grid in the Search screen.",2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,System Error,ALDOT-670,"Permitting > Manage Individual > When typing into the address field with more characters than 100, it displays an error when you hit save, of course you probably won't have a address that is that long... but",Closed,Unassigned,3/5/13 11:51,"The error should be better than a oracle system error or something of the sort or it should have better validation: 
""ORA-12899: value too large for column ""ADMIN"".ADM_USER"".""ADDRESS"" (actual: 120, maximum: 100)"" 

which tells me the table name and the table field. 

It does save the field up to 100 characters though",2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-671,"Permitting > Manage Individual > When I don't enter a Address for a new Individual, it says ""Please enter a Phone Number.""",Closed,Unassigned,3/5/13 11:57,"It should say ""Please enter a Address"" since it is the address field that is required, not the phone number.",2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-673,ADMIN - Simple Search Options - Search Options need to be radio buttons and reworded,Closed,Unassigned,3/6/13 7:31,,2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-675,Permitting > Permit History is not showing anything for Comment Type even though it should display Public or Private Comment,Closed,Unassigned,3/6/13 11:40,,2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,System Error,ALDOT-676,Manage Business - Adding Primary contact gives error,Closed,Unassigned,3/6/13 13:40,"Steps to replicate the issue - 

1. Manage Business - Business Contacts tab - add the contact first name and lastname and click save gives the error - Microsoft JScript runtime error: The value of the property 'validateBusinessContacts' is null or undefined, not a Function object.",2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-677,Permitting Search Applicant Interface Changes,Closed,Unassigned,3/6/13 14:32,,2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-678,Transfer Popup Interface Changes,Closed,Unassigned,3/6/13 14:33,,2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-679,Transfer Popup Search must honor search options,Closed,Unassigned,3/6/13 14:38,,2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,System Error,ALDOT-680,"When Search Button is clicked in Search Page, it must clear out current session",Closed,Unassigned,3/7/13 13:36,"When user is on search page in permitting and clicks search and the search results grid is displayed, the previous session variables must be cleared. Currently, the previously selected application is still in session. So, one can click Transfer Permit or View Application etc... even though a new application hasn't been selected. This is misleading.",2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-682,Transfer Permit pop-up message when a permit is not selected should be changed,Closed,Unassigned,3/7/13 14:28,"It should be changed from ""Please select a permit to do transfer process."" to ""A application must be selected""",2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-683,Admin > Manage > Users > Adding a Individual or Company with applicant type as Permitting checked does not save,Closed,Unassigned,3/7/13 15:19,Does not save Applicant type when creating a user this way.,2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-684,Permitting > Manage Business pop-up does not keep sorting when paging,Closed,Unassigned,3/7/13 15:52,Refer to ALDOT-628.,2/3/15 15:40,ALDOT,,,
Development Task,Functionality Incomplete,ALDOT-685,Rearrange the Applicant information page in the permit creation process.,Closed,Unassigned,3/8/13 10:34,"
The Applicant information page should be placed right after the Search Applicant page.",2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-686,New application Location page - Schedule section - Add the * symbol for the required fields.,Closed,Unassigned,3/8/13 10:39,New application Location page - Schedule section - Add the * symbol for the required fields.,2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-689,"Permitting > Manage Business > When I don't enter a Address for a new Business on Business Details , it says ""Please enter a Phone Number.""",Closed,Unassigned,3/11/13 15:42,,2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-690,Permitting > Permit History > Clicking on Manage Business or Manage Individual pop-ups and Transfer Permit pop-up show tabs pushed to the right,Closed,Unassigned,3/12/13 8:28,,2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-691,New Application - Search Applicant for Individual paging does not work when you have more than one page for a search,Closed,Unassigned,3/12/13 9:08,It works for Business though,2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-693,"Permitting > Manage Individual pop-up > When I select a field and enter in a value and search, incorrect results come back",Closed,Unassigned,3/12/13 9:30,This happens with any search field on the pop-up.,2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,System Error,ALDOT-694,"If there are not Simple Search set up for Manage B, Manage I, and Transfer Permit Oracle errors occur when searching",Closed,Unassigned,3/12/13 10:39,,2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-695,Permitting > Applicant Information - Showing Finny as a the primary contact when there are no contacts set for the business,Closed,Unassigned,3/12/13 10:59,"This shows on the New application process applicant information and the Viewapplicant.aspx page. I searched for this business in Manage business and found that it has no contacts. 

UPDATE - Seems to be showing the Primary Contact for the last business I searched for in Manage Business for New application process even though that primary contact does not pertain to that business.",2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-696,Permitting > Search Applicant for Business and Individual is not searching correctly,Closed,Unassigned,3/12/13 11:16,"If I View All for any of the fields, it gives me a list then I select any or most of the fields that it gives me, I get no search results after doing a search. I can also just type into the field textboxes and it also doesn't give me any results. I'm not sure how these are supposed to be configured but I would think I should always get results back when I click view all and click select one of the criteria given.",2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,System Error,ALDOT-697,"Applicant Search - If a permit has already been created with a Business or Individual, then it disappears from the search",Closed,Unassigned,3/13/13 9:41,,2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-698,Alignment issues in the work description of new application creation process.,Closed,Unassigned,3/13/13 11:22,Alignment issues in the work description of new application creation process. Please see the attachment.,2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-699,Transfer - Applicant of permit to be transferred must be excluded from search results.,Closed,Unassigned,3/13/13 13:49,,2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-700,Search Applicant Page - Tabs Alignment needs to fixed.,Closed,Unassigned,3/13/13 17:04,,2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,System Error,ALDOT-701,"Phone number/Cell Phone/Fax Numbers in Search Applicant need to be displayed in drop down with formatting. Also, the text boxes should have a mask for the format on them",Closed,Unassigned,3/14/13 8:13,,2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,System Error,ALDOT-702,Help / Support tab not working after you login.,Closed,Unassigned,3/14/13 11:30,,2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,System Error,ALDOT-703,Search Applicant Needs to have configuration in Simple Search and a default configuration set-up,Closed,Unassigned,3/14/13 14:11,,2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-704,Tables don't align on Manage Simple Searchs page.,Closed,Unassigned,3/15/13 10:04,,2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,System Error,ALDOT-706,Remove the blank white space on top of the Search Applicant page and the search permit page,Closed,Unassigned,3/15/13 10:43,Remove the blank white space on top of the Search Applicant page and the search permit page,2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,System Error,ALDOT-707,Applicant Search - No applicant found and No businesses found needs to use Pascal Casing,Closed,Unassigned,3/15/13 10:51,,2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-708,Missing line on Navigation Tree,Closed,Unassigned,3/15/13 11:36,admin/Background.aspx,2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-709,Missing space,Closed,Unassigned,3/15/13 11:37,admin/Background.aspx,2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-710,Need to remove this page. display the background page instead.,Closed,Unassigned,3/15/13 11:38,ADMIN/CONFIGURATION.ASPX,2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-711,Need to remove this page. display the background page instead.,Closed,Unassigned,3/15/13 11:38,ADMIN/MANAGE.ASPX,2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-712,Change Apply to Save,Closed,Unassigned,3/15/13 11:39,ADMIN/SECURITY.ASPX,2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-713,Popup needs to display above calendar control.,Closed,Unassigned,3/15/13 11:44,ADMIN/CALENDAR.ASPX,2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,System Error,ALDOT-714,Search Applicant - Alignment in the controls within the tabs,Closed,Unassigned,3/15/13 11:52,Search Applicant - Alignment in the controls within the tabs. See the attached picture. Vertical lines are drawn in the image to show the difference in the alignment between the tabs.,2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-715,"Change ""Company Name"" to ""Business Name""",Closed,Unassigned,3/15/13 11:55,ADMIN/USERS.ASPX,2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-716,"Change ""Company"" to ""Business""",Closed,Unassigned,3/15/13 11:55,ADMIN/Users.aspx,2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-717,"Change ""Company Name"" to ""Business Name""",Closed,Unassigned,3/15/13 11:56,ADMIN/UsersResults.aspx,2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-718,"Change ""Company"" to ""Business""",Closed,Unassigned,3/15/13 11:57,ADMIN/UsersDetails.aspx,2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-720,"Change ""Apply"" to ""Save""",Closed,Unassigned,3/15/13 11:59,ADMIN/UsersDetails.aspx,2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,System Error,ALDOT-722,Manage Business / Manage Individual - Make controls same length,Closed,Unassigned,3/15/13 13:59,"Manage Business / Manage Individual - 

1. Make the length of the DDL' the same length of the textbox. 

2. The website Link - Make the width same as the width of the contrls in the second row. 

Please see the attached screenshot.",2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,System Error,ALDOT-723,Admin > User Search > Phone Number > View-All - not listing all the phone numbers,Closed,Unassigned,3/15/13 14:07,"Admin > User Search > Phone Number > View-All - not listing all the phone numbers in the system. 
Please find the attached image.",2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-724,File textbox is disabled but needs to available on Existing Window page display.,Closed,Unassigned,3/15/13 14:10,"ADMIN/NAVIGATION.ASPX
To reproduce
1. Click on Navigation link
2. Click Add link on Application section
3. Change Page Display to a popup value
4. Click Cancel button
5. Click Add link on Application section again",2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-725,Phone is saving an invalid phone number.,Closed,Unassigned,3/15/13 14:13,ADMIN/UsersDetails.aspx,2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-726,MessageBoard screen on the Individual Module (Admin / Permitting / Billboard) Length,Closed,Unassigned,3/15/13 14:19,"MessageBoard screen on the Individual Module (Admin / Permitting / Billboard) Length -Make it align left and increase the width. Please refer to the Home Screen - message board. 

Attaching the image.",2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-728,Paging needs to be aligned to the left.,Closed,Unassigned,3/15/13 14:27,ADMIN/PICKLIST.ASPX,2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,System Error,ALDOT-729,"Add ""Discard application"" Button on the ""Permit-Information"" Screen",Closed,Unassigned,3/15/13 14:35,"
Add ""Discard application"" Button on the ""Permit-Information"" Screen. 

See the attached screenshot",2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-730,How To Do - Isn't configured for Permit History,Closed,Unassigned,3/15/13 14:39,,2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,System Error,ALDOT-731,"How To Do - If page isn't configured for it, it gives an error message divulging a database table name. Should not give away table name.",Closed,Unassigned,3/15/13 14:40,,2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-732,"Required Fields * is missing from Messages and Expires. Also add ""* Required Fields""",Closed,Unassigned,3/15/13 14:41,ADMIN/MessageBoard.aspx,2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-733,How To Do Isn't configured for MS4 Area Report,Closed,Unassigned,3/15/13 14:42,,2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-734,"New Application -> Create Permit page - Missing ""Discard Application"" button",Closed,Unassigned,3/15/13 15:09,Permitting/Common/CreatePermit.aspx,2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-735,New Application -> Applicant page. - Color is going past the line.,Closed,Unassigned,3/15/13 15:13,Permitting/Common/Applicant.aspx,2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-736,New Applcation -> Applicant page - Primary contact information is not getting saved.,Closed,Unassigned,3/15/13 15:17,"Permitting/Common/Applicant.aspx

1. Fill in the primary contact information
2. Click Next
3. Click Back on the next page
Note: you will see the primary contact information is not there.",2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-737,New Application -> Create Permit page - Permit Type is not getting saved.,Closed,Unassigned,3/15/13 15:22,"PERMITTING/common/CreatePermit.aspx

1. Select a permit type
2. Click Next button
3. Click Back button on next page
Note: Permit Type you picked is not selected.",2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-738,New Application -> Pre Application page - Color is going below the line.,Closed,Unassigned,3/15/13 15:23,Permitting/standard/RequestPAM.aspx,2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-739,New Application -> Location page. - District dropdown list needs to be the same size at GPS Location.,Closed,Unassigned,3/15/13 15:25,Permitting/Temporary/TMPLocation.aspx,2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-740,View Application -> Application Details Page - White space in the user control,Closed,Unassigned,3/15/13 15:29,PERMITTING/COMMON/ViewApplication.aspx,2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-741,View Application -> Application Details Page -> Fees Section - Description need to be top aligned.,Closed,Unassigned,3/15/13 15:31,PERMITTING/COMMON/ViewApplication.aspx,2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-742,View Application -> Application Details Page - The messages don't follow the same format.,Closed,Unassigned,3/15/13 15:34,"PERMITTING/COMMON/ViewApplication.aspx 

Need to say ""No records found"" on all grids.",2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-743,"View Application -> Application Details Page - ""* Required Fields"" missing on all popups where required fields are.",Closed,Unassigned,3/15/13 15:46,"PERMITTING/COMMON/ViewApplication.aspx

Popup
* Meetings with Applicant
* Activity Type
* Required Documents
* Fees
",2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-744,"View Application - Add Meeting popup. Change ""State date before current date."" to ""Meeting date before current date and time.""",Closed,Unassigned,3/15/13 15:50,"PERMITTING/COMMON/ViewApplication.aspx

View Application -> Application Details Page -> Meetings with Applicant section -> Add Meeting. 
",2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-745,View Applcation -> Application Details Page -> Linked Application Section -> Don't need to see permit types if you can't group them.,Closed,Unassigned,3/15/13 15:57,"PERMITTING/COMMON/VIEWAPPLICATION.ASPX 

If the Permit Type 
MB-01, MB-02, MB-03, SP, and BM111A 
needs to be disable the Linked Application Section since you can't group them. 

Also need to exclude MB-01, MB-02, MB-03, SP, and BM111A from the grid when trying to group an application.",2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-746,View Application -> Applicant Page - Color going past the line.,Closed,Unassigned,3/15/13 16:08,PERMITTING/COMMON/VIEWAPPLICANT.ASPX,2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-747,View Application -> Applicant Page - Missing Reset button when applicant is a business.,Closed,Unassigned,3/15/13 16:09,PERMITTING/COMMON/VIEWAPPLICANT.ASPX,2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-748,View Application -> Location Page - Reset button is not working.,Closed,Unassigned,3/15/13 16:20,"PERMITTING/TEMPORARY/VIEWTMPLOCATION.ASPX
",2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-749,View Application -> Work Detail Page - Color is going past the line.,Closed,Unassigned,3/15/13 16:22,"PERMITTING/TEMPORARY/VIEWTMPEVENT.ASPX
",2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-750,View Application -> Work Detail Page - Schedule section Reset button not resetting the start and end times.,Closed,Unassigned,3/15/13 16:24,PERMITTING/TEMPORARY/VIEWTMPEVENT.ASPX,2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-751,"View Application -> Work Detail Page - Move the ""* Required Fields"" to the Schedule section.",Closed,Unassigned,3/15/13 16:25,PERMITTING/TEMPORARY/VIEWTMPEVENT.ASPX,2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-752,View Application -> Work Detail Page - Schedule section. Add button is not resetting the time zone for start and end times.,Closed,Unassigned,3/15/13 16:28,"PERMITTING/TEMPORARY/VIEWTMPEVENT.ASPX

",2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-754,"View Application -> Associate Documents Page - Need to remove the label ""Send to EDMS"" from the grid.",Closed,Unassigned,3/15/13 16:37,"PERMITTING/COMMON/DOCMANAGEMENT_PERM.ASPX
",2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-755,View Application -> Associate Documents Page - Need to center the Created Date value,Closed,Unassigned,3/15/13 16:37,"PERMITTING/COMMON/DOCMANAGEMENT_PERM.ASPX
",2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-756,View Application -> Associate Documents -> Document Description is letting you add unlimited data and when you click upload you get this error.,Closed,Unassigned,3/15/13 16:48,"PERMITTING/COMMON/DOCMANAGEMENT_PERM.ASPX
",2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-758,View Application -> Revoke/Deny Permit Page - Image is not showing.,Closed,Unassigned,3/15/13 16:52,"PERMITTING/COMMON/TERMINATEPERMIT.ASPX
",2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-759,View Application -> Reactivate Permit Page. Need to set a max length.,Closed,Unassigned,3/15/13 17:11,"PERMITTING/COMMON/REACTIVATEAPPLICATION.ASPX
",2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-760,View Application -> Revoke/Deny Permit Page -> Need to set a max length on the Reason. All data is not being saved.,Closed,Unassigned,3/15/13 17:14,"PERMITTING/COMMON/TERMINATEPERMIT.ASPX
",2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-761,View Application -> Administrative Approval Page - max length needs to be set on reason.,Closed,Unassigned,3/15/13 17:16,"PERMITTING/COMMON/ADMINISTRATIVEAPPROVAL.ASPX

",2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-762,Transfer Popup - State searching not working.,Closed,Unassigned,3/18/13 8:58,,2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-763,Transfer Popup - Permit No search is not working.,Closed,Unassigned,3/18/13 9:09,,2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-764,Transfer Popup - System ID search is not working.,Closed,Unassigned,3/18/13 9:11,,2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-765,"Transfer Popup - Change ""Phome"" to ""Phone"" in dropdown list.",Closed,Unassigned,3/18/13 9:12,,2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-766,Transfer Popup - Phone search is not working.,Closed,Unassigned,3/18/13 9:13,,2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-767,Transfer Popup - Applicant Type Individual - Search Fields wrong,Closed,Unassigned,3/18/13 9:18,"Remove Company Name
Remove Email
Add Permit No
Add System ID",2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-768,Transfer Popup - Functionality does not follow functionality design in sharepoint.,Closed,Unassigned,3/18/13 9:33,"Search Tab
* Applicant Type radio button functionality not correct

Results Tab
* Applicant Type radio button functionality not correct

* Individual grid not correct
* Remove Employer column
* Add City column
* Add State column
* Add Cell Phone column

",2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-769,Transfer Popup - Applicant Type is Business - Business Name search not working.,Closed,Unassigned,3/18/13 9:40,"Business Name Example: justice 

I went to Manage Business and searched for justice and it came up.",2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-770,Transfer Popup - Transfer functionality not correct.,Closed,Unassigned,3/18/13 10:04,"After you tranfer a business to be the new applicant.
* The applicant phone, fax, and website is not updating to the new business you tranfer. If I log out and go back to the same application then it is updated correctly. 

* The Primary information needs to be updated to the new business primary contact person. If no primary contact person is present then updated primary contact application information with null.
",2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-771,Transfer Popup - Applicant Type is Individual - First Name search not working.,Closed,Unassigned,3/18/13 10:34,"First Name Example: bruce

I went to Manage Individual and searched for bruce and it came up.",2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-772,Manage Business Popup - Zip Code is a required field.,Closed,Unassigned,3/18/13 10:41,"When you click Save it needs to validate zip code.
When you go to ""Business Contacts"" and ""Additional Info"" tabs it needs to validate zip code.
",2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Functionality Incomplete,ALDOT-773,Manage Individual Popup - Zip Code is not getting valided on Save.,Closed,Unassigned,3/18/13 10:45,,2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-774,"Admin -> Manage -> How to Do - Change ""Select an option."" to ""Select an application.""",Closed,Unassigned,3/18/13 13:39,"ADMIN/HowToDoHelp.aspx

1. Click How to do in navigation tree.
2. Click Steps tab.",2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-775,Admin -> Manage -> How To Do -> Steps tab - Need to change the style of the labels.,Closed,Unassigned,3/18/13 13:43,"1. Make the fieldset ""Add / Edit Instructions"" blue and bold like the other pages.

2. Bold the ""Application:"", ""Category:"", ""Sub-Category:"", and ""Tabs:""


",2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-776,"Admin -> Manage -> External App Interface - Change ""Parameters:"" to ""How To Do:""",Closed,Unassigned,3/18/13 13:49,,2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-777,Admin -> Manage -> External App Interface -> Parameters tab - Change the labels.,Closed,Unassigned,3/18/13 13:53,"1. Add bold to the labels

2. Add bold and blue to the fieldset ""Parameters""",2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Applicaiton Crash,ALDOT-778,Admin -> Manage -> External App Interface -> Parameters tab - Go error when trying to delete a parameter.,Closed,Unassigned,3/18/13 13:57,"1. Select ""Permitting"" Application
2. Click Parameters Tab
3. Enter Name and Value
4. Click Add

5. Click Delete then OK
or 
6. Click Edit",2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-779,Admin -> Simple Search -> Table Linkages - Required fields are not labeled.,Closed,Unassigned,3/18/13 14:06,"
ADMIN/TableLinkages.aspx 

First - Add ""* Required"" 

1. Add * on Application 
2. Add ""* Required Fields"" 
3. Add * on Operator 
4. Add * on From Table 
5. Change ""Field:"" to ""* From Field:"" 
6. Add * on To Table 
7. Change ""Field:"" to ""* To Field:"" 

",2/3/15 15:40,ALDOT,,,
Bug - Internal Reported,Look and Feel,ALDOT-780,Admin -> Simple Search -> Simple Searches tab - Add required field labels,Closed,Unassigned,3/18/13 14:13,"ADMIN/ManageSimpleSearches.aspx 

Add ""* Required"" label. 

1. Add * to Application 
1. Add * to Target Page 
2. Add * to Button Text 
3. Add * to Search Name 
4. Add * to Fields 
5. Add * to Caption 


",2/3/15 15:40,ALDOT,,,
